Section,business,entertainment,health,news,politics,sport
africa,0,0,0,49,0,0
americas,0,0,0,3,0,0
asia,0,0,0,9,0,0
australia,0,0,0,114,0,0
business,23,0,0,0,0,0
business-food,1,0,0,0,0,0
business-money,2,0,0,0,0,0
cars,1,0,0,0,0,0
celebrities,0,1,0,0,0,0
china,0,0,0,5,0,0
economy,8,0,0,0,0,0
energy,3,0,0,0,0,0
entertainment,0,56,0,0,0,0
europe,0,0,0,800,0,0
football,0,0,0,0,0,618
golf,0,0,0,0,0,173
health,0,0,52,0,0,0
homes,6,0,0,0,0,0
india,0,0,0,1,0,0
intl_world,0,0,0,1,0,0
investing,9,0,0,0,0,0
living,0,0,0,7,0,0
media,2,0,0,0,0,0
middleeast,0,0,0,5,0,0
motorsport,0,0,0,0,0,100
movies,0,1,0,0,0,0
opinions,0,0,0,45,0,0
perspectives,25,0,0,0,0,0
politics,0,0,0,0,75,0
sport,0,0,0,0,0,1088
success,9,0,0,0,0,0
tech,15,0,0,0,0,0
tennis,0,0,0,0,0,197
uk,0,0,0,376,0,0
us,0,0,0,134,0,0
weather,0,0,0,18,0,0
world,0,0,0,44,0,0
