Section,Articles,Percentage
sport,1088,26.69
europe,800,19.63
football,618,15.16
uk,376,9.22
tennis,197,4.83
golf,173,4.24
us,134,3.29
australia,114,2.8
motorsport,100,2.45
politics,75,1.84
entertainment,56,1.37
health,52,1.28
africa,49,1.2
opinions,45,1.1
world,44,1.08
perspectives,25,0.61
business,23,0.56
weather,18,0.44
tech,15,0.37
asia,9,0.22
investing,9,0.22
success,9,0.22
economy,8,0.2
living,7,0.17
homes,6,0.15
china,5,0.12
middleeast,5,0.12
americas,3,0.07
energy,3,0.07
media,2,0.05
business-money,2,0.05
business-food,1,0.02
cars,1,0.02
celebrities,1,0.02
movies,1,0.02
india,1,0.02
intl_world,1,0.02
