LDA_topic,Articles,Share of news,Top terms
0,37,0.022967101179391682,"league, manchester, united, premier, premier league, football, manchester united, team, club, coach, city, women's"
1,235,0.1458721291123526,"minister, boris, prime, johnson, prime minister, boris johnson, crisis, lionel, messi, people, lionel messi, new"
2,177,0.10986964618249534,"climate, change, fast, facts, fast facts, climate change, rights, court, cnn's, human, facts cnn, death"
3,93,0.05772811918063315,"queen, euro, elizabeth, queen elizabeth, prince, killed, philip, new, prince philip, england, sunday, italy"
4,15,0.00931098696461825,"open, champions, australian, tennis, champions league, final, australian open, win, players, grand, slam, grand slam"
5,144,0.0893854748603352,"world, cup, russian, russia, world cup, prix, grand prix, says, hamilton, lewis, cristiano, formula"
6,98,0.06083178150217256,"covid-, positive, french, france, test, positive covid-, new, spanish, game, announced, election, sports"
7,189,0.11731843575418995,"media, social, abuse, family, black, prince, social media, women, harry, royal, meghan, british"
8,111,0.06890130353817504,"police, london, tom, arrested, murder, man, brady, munich, bayern, tom brady, officer, track"
9,38,0.023587833643699565,"olympics, tokyo, olympic, games, tokyo olympics, gold, team, athletes, medal, says, beijing, winter"
10,373,0.23153320918684048,"covid-, vaccine, australia, coronavirus, new, pandemic, health, said, covid, cases, australian, country"
11,101,0.06269397889509622,"record, football, south, died, age, world, new, it's, years, nba, city, williams"
