Topic,Rank,Term,Weight
0,1,league,345.94093622576514
0,2,manchester,182.08332821218215
0,3,united,164.82782455667257
0,4,premier,148.08332793748303
0,5,premier league,135.08333058853745
0,6,football,124.99772210817417
0,7,manchester united,98.08332874249079
0,8,team,95.73265092312366
0,9,club,90.7970248409874
0,10,coach,89.07120449809103
0,11,city,88.06661291000104
0,12,women's,84.3075451360419
1,1,minister,153.0833208864598
1,2,boris,116.08333063789966
1,3,prime,114.08332740050332
1,4,johnson,107.25877024564933
1,5,prime minister,107.08332846214516
1,6,boris johnson,87.0833307089186
1,7,crisis,72.39196472736134
1,8,lionel,70.08332751334954
1,9,messi,70.0833251438011
1,10,people,65.57033609887424
1,11,lionel messi,64.08332750186932
1,12,new,54.655273798319136
2,1,climate,124.84660548983875
2,2,change,118.47958668404827
2,3,fast,103.08332893926195
2,4,facts,97.08333148762816
2,5,fast facts,92.08333209923944
2,6,climate change,80.08332909608623
2,7,rights,67.71959071788574
2,8,court,62.27832238494655
2,9,cnn's,62.08332854725082
2,10,human,61.08332232370461
2,11,facts cnn,52.083331542748816
2,12,death,51.1182072151755
3,1,queen,98.62763101004813
3,2,euro,83.64218109718585
3,3,elizabeth,74.08332848974315
3,4,queen elizabeth,69.08332944566693
3,5,prince,57.53482594597686
3,6,killed,56.34144196050776
3,7,philip,51.08333091387224
3,8,new,49.929407715260275
3,9,prince philip,49.08333091080052
3,10,england,43.7525144838462
3,11,sunday,42.19214038550343
3,12,italy,38.31720515005575
4,1,open,283.08332340145347
4,2,champions,131.0833268245855
4,3,australian,128.66616003549692
4,4,tennis,125.13176670387334
4,5,champions league,119.08332781832925
4,6,final,111.24801675464602
4,7,australian open,105.08333118563945
4,8,win,95.60964053601093
4,9,players,87.143536602617
4,10,grand,83.56714981651072
4,11,slam,79.08332831732345
4,12,grand slam,70.0833316164662
5,1,world,187.56835834140352
5,2,cup,183.43341647801037
5,3,russian,150.32968045253472
5,4,russia,110.79775306772122
5,5,world cup,103.08332692217579
5,6,prix,71.08333189510269
5,7,grand prix,71.08333189510269
5,8,says,70.93346855697416
5,9,hamilton,70.0833319039127
5,10,lewis,70.08333175216103
5,11,cristiano,69.08332767371834
5,12,formula,69.083327115709
6,1,covid-,150.6731341101898
6,2,positive,75.08332801734026
6,3,french,72.35877127037479
6,4,france,72.19953445197719
6,5,test,53.16257672645095
6,6,positive covid-,51.083329466257
6,7,new,50.96054741253647
6,8,spanish,49.335653179272704
6,9,game,46.96710308465327
6,10,announced,46.35488562866098
6,11,election,44.1209308819226
6,12,sports,41.711621527239366
7,1,media,114.96527716638391
7,2,social,103.93093228583655
7,3,abuse,100.92639794758625
7,4,family,90.64013264182604
7,5,black,89.63815792338704
7,6,prince,89.50899263924016
7,7,social media,86.08332462923683
7,8,women,83.72358473655677
7,9,harry,75.88874433725162
7,10,royal,66.03450484466183
7,11,meghan,57.083332031270274
7,12,british,52.43384377020375
8,1,police,276.08332524532284
8,2,london,67.29932148099299
8,3,tom,66.08332538317678
8,4,arrested,62.5961003858676
8,5,murder,53.13122562360885
8,6,man,44.64980081807986
8,7,brady,44.0833286751344
8,8,munich,44.083326697511296
8,9,bayern,40.449298358670084
8,10,tom brady,40.083330764945735
8,11,officer,38.87247986965782
8,12,track,36.98645790403094
9,1,olympics,321.08332903884775
9,2,tokyo,308.0833299989854
9,3,olympic,292.08332685841833
9,4,games,166.85967046451583
9,5,tokyo olympics,154.0833300970253
9,6,gold,140.08332894717725
9,7,team,105.73608007538603
9,8,athletes,97.87888221336954
9,9,medal,69.08332946672012
9,10,says,68.75607537128525
9,11,beijing,68.08332686461168
9,12,winter,67.33767756826839
10,1,covid-,324.2901247607191
10,2,vaccine,148.08332729821487
10,3,australia,136.10363945927642
10,4,coronavirus,117.4538928416995
10,5,new,116.08295631699887
10,6,pandemic,113.8740361595253
10,7,health,105.7289535797442
10,8,said,96.35311444997421
10,9,covid,87.04220847424071
10,10,cases,85.07650835732873
10,11,australian,83.13888820700397
10,12,country,78.73153841691207
11,1,record,109.62468278349057
11,2,football,80.01200209493267
11,3,south,75.80394170257483
11,4,died,68.02381582546984
11,5,age,65.21765325027943
11,6,world,60.4255631113517
11,7,new,58.466211444289016
11,8,it's,56.18460521431903
11,9,years,55.746720326971776
11,10,nba,55.34878048499831
11,11,city,53.523025688575984
11,12,williams,53.08332724758568
