LDA_topic,africa,americas,asia,australia,business,business-food,business-money,cars,celebrities,china,economy,energy,entertainment,europe,football,golf,health,homes,india,intl_world,investing,living,media,middleeast,motorsport,movies,opinions,perspectives,politics,sport,success,tech,tennis,uk,us,weather,world
0,1,0,0,4,0,0,0,0,0,0,0,0,4,21,257,4,2,0,0,0,0,0,0,0,1,0,0,0,0,110,0,2,12,6,4,0,1
1,1,0,0,18,5,1,0,0,0,0,1,1,0,117,27,17,2,0,0,0,2,1,0,0,1,0,2,6,1,19,0,2,2,71,14,1,10
2,3,0,3,4,0,0,0,0,0,1,0,0,8,98,18,47,6,2,0,0,0,2,0,0,3,0,26,1,0,50,1,2,1,13,18,3,6
3,3,1,0,3,1,0,0,0,0,0,0,0,2,36,49,2,0,0,0,0,0,1,0,0,5,0,1,0,0,56,0,0,1,43,4,0,1
4,6,0,0,0,0,0,0,0,0,0,0,0,0,4,73,42,0,0,0,0,0,0,0,0,1,0,0,0,2,76,1,1,142,1,4,0,0
5,2,0,1,1,6,0,1,0,0,1,3,2,2,115,52,3,2,0,0,0,4,0,2,0,76,0,3,5,0,40,1,3,2,15,2,1,3
6,4,1,0,4,0,0,0,1,0,1,0,0,7,74,43,12,2,0,0,0,2,0,0,1,4,0,1,1,21,109,0,2,4,8,4,0,0
7,12,1,2,5,0,0,0,0,0,0,1,0,5,31,27,3,16,0,1,0,0,0,0,3,0,0,3,3,37,40,0,0,3,103,23,0,5
8,4,0,0,2,0,0,0,0,0,0,0,0,7,40,17,9,5,0,0,1,0,2,0,0,3,0,1,0,3,83,0,1,1,48,10,2,1
9,0,0,0,1,0,0,0,0,0,2,0,0,1,28,2,9,0,0,0,0,0,0,0,0,1,0,2,0,0,285,1,0,6,0,3,1,1
10,6,0,2,69,6,0,1,0,0,0,3,0,3,208,11,5,11,4,0,0,1,0,0,0,0,0,5,9,6,67,5,0,18,58,15,1,9
11,7,0,1,3,5,0,0,0,1,0,0,0,17,28,42,20,6,0,0,0,0,1,0,1,5,1,1,0,5,153,0,2,5,10,33,9,7
