LDA_topic,africa,americas,asia,australia,business,business-food,business-money,cars,celebrities,china,economy,energy,entertainment,europe,football,golf,health,homes,india,intl_world,investing,living,media,middleeast,motorsport,movies,opinions,perspectives,politics,sport,success,tech,tennis,uk,us,weather,world
0,0.002331002331002331,0.0,0.0,0.009324009324009324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009324009324009324,0.04895104895104895,0.5990675990675991,0.009324009324009324,0.004662004662004662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002331002331002331,0.0,0.0,0.0,0.0,0.2564102564102564,0.0,0.004662004662004662,0.027972027972027972,0.013986013986013986,0.009324009324009324,0.0,0.002331002331002331
1,0.003105590062111801,0.0,0.0,0.055900621118012424,0.015527950310559006,0.003105590062111801,0.0,0.0,0.0,0.0,0.003105590062111801,0.003105590062111801,0.0,0.36335403726708076,0.08385093167701864,0.052795031055900624,0.006211180124223602,0.0,0.0,0.0,0.006211180124223602,0.003105590062111801,0.0,0.0,0.003105590062111801,0.0,0.006211180124223602,0.018633540372670808,0.003105590062111801,0.059006211180124224,0.0,0.006211180124223602,0.006211180124223602,0.2204968944099379,0.043478260869565216,0.003105590062111801,0.031055900621118012
2,0.00949367088607595,0.0,0.00949367088607595,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0031645569620253164,0.0,0.0,0.02531645569620253,0.310126582278481,0.056962025316455694,0.14873417721518986,0.0189873417721519,0.006329113924050633,0.0,0.0,0.0,0.006329113924050633,0.0,0.0,0.00949367088607595,0.0,0.08227848101265822,0.0031645569620253164,0.0,0.15822784810126583,0.0031645569620253164,0.006329113924050633,0.0031645569620253164,0.04113924050632911,0.056962025316455694,0.00949367088607595,0.0189873417721519
3,0.014354066985645933,0.004784688995215311,0.0,0.014354066985645933,0.004784688995215311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009569377990430622,0.1722488038277512,0.23444976076555024,0.009569377990430622,0.0,0.0,0.0,0.0,0.0,0.004784688995215311,0.0,0.0,0.023923444976076555,0.0,0.004784688995215311,0.0,0.0,0.2679425837320574,0.0,0.0,0.004784688995215311,0.20574162679425836,0.019138755980861243,0.0,0.004784688995215311
4,0.0169971671388102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0113314447592068,0.20679886685552407,0.11898016997167139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028328611898017,0.0,0.0,0.0,0.0056657223796034,0.21529745042492918,0.0028328611898017,0.0028328611898017,0.40226628895184136,0.0028328611898017,0.0113314447592068,0.0,0.0
5,0.005747126436781609,0.0,0.0028735632183908046,0.0028735632183908046,0.017241379310344827,0.0,0.0028735632183908046,0.0,0.0,0.0028735632183908046,0.008620689655172414,0.005747126436781609,0.005747126436781609,0.33045977011494254,0.14942528735632185,0.008620689655172414,0.005747126436781609,0.0,0.0,0.0,0.011494252873563218,0.0,0.005747126436781609,0.0,0.21839080459770116,0.0,0.008620689655172414,0.014367816091954023,0.0,0.11494252873563218,0.0028735632183908046,0.008620689655172414,0.005747126436781609,0.04310344827586207,0.005747126436781609,0.0028735632183908046,0.008620689655172414
6,0.013071895424836602,0.0032679738562091504,0.0,0.013071895424836602,0.0,0.0,0.0,0.0032679738562091504,0.0,0.0032679738562091504,0.0,0.0,0.02287581699346405,0.24183006535947713,0.14052287581699346,0.0392156862745098,0.006535947712418301,0.0,0.0,0.0,0.006535947712418301,0.0,0.0,0.0032679738562091504,0.013071895424836602,0.0,0.0032679738562091504,0.0032679738562091504,0.06862745098039216,0.3562091503267974,0.0,0.006535947712418301,0.013071895424836602,0.026143790849673203,0.013071895424836602,0.0,0.0
7,0.037037037037037035,0.0030864197530864196,0.006172839506172839,0.015432098765432098,0.0,0.0,0.0,0.0,0.0,0.0,0.0030864197530864196,0.0,0.015432098765432098,0.09567901234567901,0.08333333333333333,0.009259259259259259,0.04938271604938271,0.0,0.0030864197530864196,0.0,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.009259259259259259,0.009259259259259259,0.11419753086419752,0.12345679012345678,0.0,0.0,0.009259259259259259,0.31790123456790126,0.07098765432098765,0.0,0.015432098765432098
8,0.016666666666666666,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029166666666666667,0.16666666666666666,0.07083333333333333,0.0375,0.020833333333333332,0.0,0.0,0.004166666666666667,0.0,0.008333333333333333,0.0,0.0,0.0125,0.0,0.004166666666666667,0.0,0.0125,0.3458333333333333,0.0,0.004166666666666667,0.004166666666666667,0.2,0.041666666666666664,0.008333333333333333,0.004166666666666667
9,0.0,0.0,0.0,0.0029154518950437317,0.0,0.0,0.0,0.0,0.0,0.0058309037900874635,0.0,0.0,0.0029154518950437317,0.08163265306122448,0.0058309037900874635,0.026239067055393587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029154518950437317,0.0,0.0058309037900874635,0.0,0.0,0.8309037900874635,0.0029154518950437317,0.0,0.01749271137026239,0.0,0.008746355685131196,0.0029154518950437317,0.0029154518950437317
10,0.011472275334608031,0.0,0.0038240917782026767,0.13193116634799235,0.011472275334608031,0.0,0.0019120458891013384,0.0,0.0,0.0,0.0057361376673040155,0.0,0.0057361376673040155,0.3977055449330784,0.021032504780114723,0.009560229445506692,0.021032504780114723,0.0076481835564053535,0.0,0.0,0.0019120458891013384,0.0,0.0,0.0,0.0,0.0,0.009560229445506692,0.017208413001912046,0.011472275334608031,0.12810707456978968,0.009560229445506692,0.0,0.03441682600382409,0.11089866156787763,0.028680688336520075,0.0019120458891013384,0.017208413001912046
