Topic,Top terms,Articles,Article share
10,"covid-, vaccine, australia, coronavirus, new, pandemic, health, said, covid, cases, australian, country",523,0.12831207065750735
0,"league, manchester, united, premier, premier league, football, manchester united, team, club, coach, city, women's",429,0.10525024533856722
11,"record, football, south, died, age, world, new, it's, years, nba, city, williams",363,0.08905789990186458
4,"open, champions, australian, tennis, champions league, final, australian open, win, players, grand, slam, grand slam",353,0.0866045142296369
5,"world, cup, russian, russia, world cup, prix, grand prix, says, hamilton, lewis, cristiano, formula",348,0.08537782139352307
9,"olympics, tokyo, olympic, games, tokyo olympics, gold, team, athletes, medal, says, beijing, winter",343,0.08415112855740922
7,"media, social, abuse, family, black, prince, social media, women, harry, royal, meghan, british",324,0.07948969578017664
1,"minister, boris, prime, johnson, prime minister, boris johnson, crisis, lionel, messi, people, lionel messi, new",322,0.07899901864573111
2,"climate, change, fast, facts, fast facts, climate change, rights, court, cnn's, human, facts cnn, death",316,0.0775269872423945
6,"covid-, positive, french, france, test, positive covid-, new, spanish, game, announced, election, sports",306,0.07507360157016683
8,"police, london, tom, arrested, murder, man, brady, munich, bayern, tom brady, officer, track",240,0.058881256133464184
3,"queen, euro, elizabeth, queen elizabeth, prince, killed, philip, new, prince philip, england, sunday, italy",209,0.05127576054955839
