target,model,training_labels,metric_scope,class_label,accuracy,precision,recall,f1,support,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
category,logistic,real,overall,,0.9227941176470589,,,,816,0.6390019851229393,0.40347170778961766,0.43945716428982445,0.9025383558146652,0.9227941176470589,0.9004128330087925
category,logistic,real,class,business,,1.0,0.19047619047619047,0.32,21,,,,,,
category,logistic,real,class,entertainment,,0.0,0.0,0.0,12,,,,,,
category,logistic,real,class,health,,0.0,0.0,0.0,10,,,,,,
category,logistic,real,class,news,,0.8698060941828255,0.9751552795031055,0.9194729136163983,322,,,,,,
category,logistic,real,class,politics,,1.0,0.26666666666666666,0.42105263157894735,15,,,,,,
category,logistic,real,class,sport,,0.9642058165548099,0.9885321100917431,0.9762174405436014,436,,,,,,
category,logistic,llm,overall,,0.42892156862745096,,,,816,0.2347715736040609,0.17737003058103976,0.11681163922543232,0.6955621080919677,0.42892156862745096,0.29342978881518433
category,logistic,llm,class,business,,0.0,0.0,0.0,21,,,,,,
category,logistic,llm,class,entertainment,,0.0,0.0,0.0,12,,,,,,
category,logistic,llm,class,health,,0.0,0.0,0.0,10,,,,,,
category,logistic,llm,class,news,,0.4086294416243655,1.0,0.5801801801801801,322,,,,,,
category,logistic,llm,class,politics,,0.0,0.0,0.0,15,,,,,,
category,logistic,llm,class,sport,,1.0,0.06422018348623854,0.1206896551724138,436,,,,,,
category,svm,real,overall,,0.9620098039215687,,,,816,0.9855231861509021,0.735991446172938,0.8070921184522378,0.9638014562550166,0.9620098039215687,0.9582418194882758
category,svm,real,class,business,,1.0,0.7619047619047619,0.8648648648648649,21,,,,,,
category,svm,real,class,entertainment,,1.0,0.75,0.8571428571428571,12,,,,,,
category,svm,real,class,health,,1.0,0.2,0.3333333333333333,10,,,,,,
category,svm,real,class,news,,0.9269005847953217,0.984472049689441,0.9548192771084337,322,,,,,,
category,svm,real,class,politics,,1.0,0.7333333333333333,0.8461538461538461,15,,,,,,
category,svm,real,class,sport,,0.9862385321100917,0.9862385321100917,0.9862385321100917,436,,,,,,
category,svm,llm,overall,,0.48161764705882354,,,,816,0.4623502310261047,0.28199533370055907,0.2642879991461486,0.7222670221077366,0.48161764705882354,0.3908707738139634
category,svm,llm,class,business,,0.5,0.047619047619047616,0.08695652173913043,21,,,,,,
category,svm,llm,class,entertainment,,0.8571428571428571,0.5,0.631578947368421,12,,,,,,
category,svm,llm,class,health,,0.0,0.0,0.0,10,,,,,,
category,svm,llm,class,news,,0.4316644113667118,0.9906832298136646,0.6013195098963242,322,,,,,,
category,svm,llm,class,politics,,0.0,0.0,0.0,15,,,,,,
category,svm,llm,class,sport,,0.9852941176470589,0.1536697247706422,0.26587301587301587,436,,,,,,
category,nb,real,overall,,0.9093137254901961,,,,816,0.30137566137566135,0.3262697779550592,0.312941329158412,0.8488219732337379,0.9093137254901961,0.8769766056271429
category,nb,real,class,business,,0.0,0.0,0.0,21,,,,,,
category,nb,real,class,entertainment,,0.0,0.0,0.0,12,,,,,,
category,nb,real,class,health,,0.0,0.0,0.0,10,,,,,,
category,nb,real,class,news,,0.84,0.9782608695652174,0.9038737446197992,322,,,,,,
category,nb,real,class,politics,,0.0,0.0,0.0,15,,,,,,
category,nb,real,class,sport,,0.9682539682539683,0.9793577981651376,0.9737742303306728,436,,,,,,
category,nb,llm,overall,,0.41299019607843135,,,,816,0.2336662505201831,0.17240061162079512,0.10666379714877859,0.6929450931433747,0.41299019607843135,0.2618352998164198
category,nb,llm,class,business,,0.0,0.0,0.0,21,,,,,,
category,nb,llm,class,entertainment,,0.0,0.0,0.0,12,,,,,,
category,nb,llm,class,health,,0.0,0.0,0.0,10,,,,,,
category,nb,llm,class,news,,0.4019975031210986,1.0,0.5734639358860196,322,,,,,,
category,nb,llm,class,politics,,0.0,0.0,0.0,15,,,,,,
category,nb,llm,class,sport,,1.0,0.034403669724770644,0.06651884700665188,436,,,,,,
