target,metric_scope,class_label,accuracy,precision,recall,f1,support,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
section,overall,,0.16533742331288342,,,,3260,0.3072531989737629,0.15670137663739156,0.11174170662139862,0.6650435263688498,0.16533742331288342,0.18651277111499687
section,class,africa,,1.0,0.125,0.2222222222222222,40,,,,,,
section,class,americas,,1.0,0.3333333333333333,0.5,3,,,,,,
section,class,asia,,0.03968253968253968,0.7142857142857143,0.07518796992481203,7,,,,,,
section,class,australia,,0.45555555555555555,0.4939759036144578,0.47398843930635837,83,,,,,,
section,class,business,,0.0,0.0,0.0,15,,,,,,
section,class,business-food,,0.0,0.0,0.0,1,,,,,,
section,class,business-money,,0.0,0.0,0.0,1,,,,,,
section,class,cars,,0.0,0.0,0.0,1,,,,,,
section,class,celebrities,,0.0,0.0,0.0,1,,,,,,
section,class,china,,1.0,0.25,0.4,4,,,,,,
section,class,economy,,0.0,0.0,0.0,7,,,,,,
section,class,energy,,0.0,0.0,0.0,3,,,,,,
section,class,entertainment,,0.0,0.0,0.0,45,,,,,,
section,class,europe,,0.7008547008547008,0.12792511700468018,0.21635883905013192,641,,,,,,
section,class,football,,0.7574257425742574,0.3047808764940239,0.4346590909090909,502,,,,,,
section,class,golf,,0.8571428571428571,0.04081632653061224,0.07792207792207792,147,,,,,,
section,class,health,,0.0,0.0,0.0,42,,,,,,
section,class,homes,,0.0,0.0,0.0,6,,,,,,
section,class,india,,0.0,0.0,0.0,1,,,,,,
section,class,intl_world,,0.0,0.0,0.0,0,,,,,,
section,class,investing,,0.08333333333333333,0.625,0.14705882352941177,8,,,,,,
section,class,living,,0.2,0.16666666666666666,0.18181818181818182,6,,,,,,
section,class,media,,0.0,0.0,0.0,1,,,,,,
section,class,middleeast,,0.0,0.0,0.0,5,,,,,,
section,class,motorsport,,1.0,0.02631578947368421,0.05128205128205128,76,,,,,,
section,class,movies,,0.0,0.0,0.0,0,,,,,,
section,class,opinions,,0.4,0.4375,0.417910447761194,32,,,,,,
section,class,perspectives,,0.0,0.0,0.0,20,,,,,,
section,class,politics,,1.0,0.016666666666666666,0.03278688524590164,60,,,,,,
section,class,sport,,0.7142857142857143,0.005875440658049354,0.011655011655011656,851,,,,,,
section,class,success,,0.0,0.0,0.0,6,,,,,,
section,class,tech,,0.16666666666666666,0.07142857142857142,0.1,14,,,,,,
section,class,tennis,,0.8888888888888888,0.04878048780487805,0.09248554913294797,164,,,,,,
section,class,uk,,0.704,0.2913907284768212,0.41217798594847777,302,,,,,,
section,class,us,,0.06416382252559727,0.8392857142857143,0.1192136968928345,112,,,,,,
section,class,weather,,0.0,0.0,0.0,17,,,,,,
section,class,world,,0.029115341545352745,0.7222222222222222,0.05597416576964478,36,,,,,,
