target,model,training_labels,metric_scope,class_label,accuracy,precision,recall,f1,support,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
section,logistic,real,overall,,0.8051470588235294,,,,816,0.3817916739337761,0.29094975770752973,0.31074651101698314,0.7792617869733898,0.8051470588235294,0.7731980086749889
section,logistic,real,class,africa,,0.5,0.1111111111111111,0.18181818181818182,9,,,,,,
section,logistic,real,class,americas,,0.0,0.0,0.0,0,,,,,,
section,logistic,real,class,asia,,0.0,0.0,0.0,2,,,,,,
section,logistic,real,class,australia,,0.9375,0.4838709677419355,0.6382978723404256,31,,,,,,
section,logistic,real,class,business,,0.0,0.0,0.0,8,,,,,,
section,logistic,real,class,business-food,,0.0,0.0,0.0,0,,,,,,
section,logistic,real,class,business-money,,0.0,0.0,0.0,1,,,,,,
section,logistic,real,class,cars,,0.0,0.0,0.0,0,,,,,,
section,logistic,real,class,celebrities,,0.0,0.0,0.0,0,,,,,,
section,logistic,real,class,china,,0.0,0.0,0.0,1,,,,,,
section,logistic,real,class,economy,,0.0,0.0,0.0,1,,,,,,
section,logistic,real,class,energy,,0.0,0.0,0.0,0,,,,,,
section,logistic,real,class,entertainment,,1.0,0.18181818181818182,0.3076923076923077,11,,,,,,
section,logistic,real,class,europe,,0.6696428571428571,0.9433962264150944,0.783289817232376,159,,,,,,
section,logistic,real,class,football,,0.9636363636363636,0.9137931034482759,0.9380530973451328,116,,,,,,
section,logistic,real,class,golf,,0.9615384615384616,0.9615384615384616,0.9615384615384616,26,,,,,,
section,logistic,real,class,health,,0.0,0.0,0.0,10,,,,,,
section,logistic,real,class,homes,,0.0,0.0,0.0,0,,,,,,
section,logistic,real,class,india,,0.0,0.0,0.0,0,,,,,,
section,logistic,real,class,intl_world,,0.0,0.0,0.0,1,,,,,,
section,logistic,real,class,investing,,0.0,0.0,0.0,1,,,,,,
section,logistic,real,class,living,,0.0,0.0,0.0,1,,,,,,
section,logistic,real,class,media,,0.0,0.0,0.0,1,,,,,,
section,logistic,real,class,middleeast,,0.0,0.0,0.0,0,,,,,,
section,logistic,real,class,motorsport,,1.0,0.7083333333333334,0.8292682926829268,24,,,,,,
section,logistic,real,class,movies,,0.0,0.0,0.0,1,,,,,,
section,logistic,real,class,opinions,,1.0,0.3076923076923077,0.47058823529411764,13,,,,,,
section,logistic,real,class,perspectives,,0.0,0.0,0.0,5,,,,,,
section,logistic,real,class,politics,,1.0,0.7333333333333333,0.8461538461538461,15,,,,,,
section,logistic,real,class,sport,,0.8028169014084507,0.9620253164556962,0.8752399232245681,237,,,,,,
section,logistic,real,class,success,,0.0,0.0,0.0,3,,,,,,
section,logistic,real,class,tech,,0.0,0.0,0.0,1,,,,,,
section,logistic,real,class,tennis,,0.8529411764705882,0.8787878787878788,0.8656716417910447,33,,,,,,
section,logistic,real,class,uk,,0.9076923076923077,0.7972972972972973,0.8489208633093526,74,,,,,,
section,logistic,real,class,us,,0.47619047619047616,0.45454545454545453,0.46511627906976744,22,,,,,,
section,logistic,real,class,weather,,0.0,0.0,0.0,1,,,,,,
section,logistic,real,class,world,,0.0,0.0,0.0,8,,,,,,
section,logistic,llm,overall,,0.05514705882352941,,,,816,0.09720607659940575,0.05613178994287043,0.019819802981882215,0.3051603367696081,0.05514705882352941,0.0503992683759803
section,logistic,llm,class,africa,,0.0,0.0,0.0,9,,,,,,
section,logistic,llm,class,americas,,0.0,0.0,0.0,0,,,,,,
section,logistic,llm,class,asia,,0.0,0.0,0.0,2,,,,,,
section,logistic,llm,class,australia,,0.6666666666666666,0.06451612903225806,0.11764705882352941,31,,,,,,
section,logistic,llm,class,business,,0.0,0.0,0.0,8,,,,,,
section,logistic,llm,class,business-food,,0.0,0.0,0.0,0,,,,,,
section,logistic,llm,class,business-money,,0.0,0.0,0.0,1,,,,,,
section,logistic,llm,class,cars,,0.0,0.0,0.0,0,,,,,,
section,logistic,llm,class,celebrities,,0.0,0.0,0.0,0,,,,,,
section,logistic,llm,class,china,,0.0,0.0,0.0,1,,,,,,
section,logistic,llm,class,economy,,0.0,0.0,0.0,1,,,,,,
section,logistic,llm,class,energy,,0.0,0.0,0.0,0,,,,,,
section,logistic,llm,class,entertainment,,0.0,0.0,0.0,11,,,,,,
section,logistic,llm,class,europe,,0.6,0.018867924528301886,0.036585365853658534,159,,,,,,
section,logistic,llm,class,football,,0.5,0.08620689655172414,0.14705882352941177,116,,,,,,
section,logistic,llm,class,golf,,0.0,0.0,0.0,26,,,,,,
section,logistic,llm,class,health,,0.0,0.0,0.0,10,,,,,,
section,logistic,llm,class,homes,,0.0,0.0,0.0,0,,,,,,
section,logistic,llm,class,india,,0.0,0.0,0.0,0,,,,,,
section,logistic,llm,class,intl_world,,0.0,0.0,0.0,1,,,,,,
section,logistic,llm,class,investing,,0.0,0.0,0.0,1,,,,,,
section,logistic,llm,class,living,,0.0,0.0,0.0,1,,,,,,
section,logistic,llm,class,media,,0.0,0.0,0.0,1,,,,,,
section,logistic,llm,class,middleeast,,0.0,0.0,0.0,0,,,,,,
section,logistic,llm,class,motorsport,,0.0,0.0,0.0,24,,,,,,
section,logistic,llm,class,movies,,0.0,0.0,0.0,1,,,,,,
section,logistic,llm,class,opinions,,0.0,0.0,0.0,13,,,,,,
section,logistic,llm,class,perspectives,,0.0,0.0,0.0,5,,,,,,
section,logistic,llm,class,politics,,0.0,0.0,0.0,15,,,,,,
section,logistic,llm,class,sport,,0.0,0.0,0.0,237,,,,,,
section,logistic,llm,class,success,,0.0,0.0,0.0,3,,,,,,
section,logistic,llm,class,tech,,0.0,0.0,0.0,1,,,,,,
section,logistic,llm,class,tennis,,0.0,0.0,0.0,33,,,,,,
section,logistic,llm,class,uk,,1.0,0.0945945945945946,0.1728395061728395,74,,,,,,
section,logistic,llm,class,us,,0.037549407114624504,0.8636363636363636,0.07196969696969698,22,,,,,,
section,logistic,llm,class,weather,,0.0,0.0,0.0,1,,,,,,
section,logistic,llm,class,world,,0.014760147601476014,0.5,0.02867383512544803,8,,,,,,
section,svm,real,overall,,0.8848039215686274,,,,816,0.5144320523115626,0.5016370496230762,0.49444917418287965,0.8705601913264561,0.8848039215686274,0.8734177967879432
section,svm,real,class,africa,,0.5,0.3333333333333333,0.4,9,,,,,,
section,svm,real,class,americas,,0.0,0.0,0.0,0,,,,,,
section,svm,real,class,asia,,0.0,0.0,0.0,2,,,,,,
section,svm,real,class,australia,,0.9333333333333333,0.9032258064516129,0.9180327868852459,31,,,,,,
section,svm,real,class,business,,1.0,0.25,0.4,8,,,,,,
section,svm,real,class,business-food,,0.0,0.0,0.0,0,,,,,,
section,svm,real,class,business-money,,0.0,0.0,0.0,1,,,,,,
section,svm,real,class,cars,,0.0,0.0,0.0,0,,,,,,
section,svm,real,class,celebrities,,0.0,0.0,0.0,0,,,,,,
section,svm,real,class,china,,0.0,0.0,0.0,1,,,,,,
section,svm,real,class,economy,,0.0,0.0,0.0,1,,,,,,
section,svm,real,class,energy,,0.0,0.0,0.0,0,,,,,,
section,svm,real,class,entertainment,,0.7272727272727273,0.7272727272727273,0.7272727272727273,11,,,,,,
section,svm,real,class,europe,,0.8305084745762712,0.9245283018867925,0.875,159,,,,,,
section,svm,real,class,football,,0.9576271186440678,0.9741379310344828,0.9658119658119658,116,,,,,,
section,svm,real,class,golf,,0.9629629629629629,1.0,0.9811320754716981,26,,,,,,
section,svm,real,class,health,,0.8571428571428571,0.6,0.7058823529411765,10,,,,,,
section,svm,real,class,homes,,0.0,0.0,0.0,0,,,,,,
section,svm,real,class,india,,0.0,0.0,0.0,0,,,,,,
section,svm,real,class,intl_world,,0.0,0.0,0.0,1,,,,,,
section,svm,real,class,investing,,0.0,0.0,0.0,1,,,,,,
section,svm,real,class,living,,0.0,0.0,0.0,1,,,,,,
section,svm,real,class,media,,0.0,0.0,0.0,1,,,,,,
section,svm,real,class,middleeast,,0.0,0.0,0.0,0,,,,,,
section,svm,real,class,motorsport,,0.9583333333333334,0.9583333333333334,0.9583333333333334,24,,,,,,
section,svm,real,class,movies,,0.0,0.0,0.0,1,,,,,,
section,svm,real,class,opinions,,0.8181818181818182,0.6923076923076923,0.75,13,,,,,,
section,svm,real,class,perspectives,,0.6666666666666666,0.8,0.7272727272727273,5,,,,,,
section,svm,real,class,politics,,0.9166666666666666,0.7333333333333333,0.8148148148148148,15,,,,,,
section,svm,real,class,sport,,0.9529914529914529,0.9409282700421941,0.9469214437367304,237,,,,,,
section,svm,real,class,success,,0.0,0.0,0.0,3,,,,,,
section,svm,real,class,tech,,0.5,1.0,0.6666666666666666,1,,,,,,
section,svm,real,class,tennis,,0.868421052631579,1.0,0.9295774647887324,33,,,,,,
section,svm,real,class,uk,,0.868421052631579,0.8918918918918919,0.88,74,,,,,,
section,svm,real,class,us,,0.6,0.8181818181818182,0.6923076923076923,22,,,,,,
section,svm,real,class,weather,,1.0,1.0,1.0,1,,,,,,
section,svm,real,class,world,,0.0,0.0,0.0,8,,,,,,
section,svm,llm,overall,,0.11029411764705882,,,,816,0.09657691936086449,0.09056616980904648,0.04703284973930815,0.3389669386022769,0.11029411764705882,0.11935746914217098
section,svm,llm,class,africa,,0.0,0.0,0.0,9,,,,,,
section,svm,llm,class,americas,,0.0,0.0,0.0,0,,,,,,
section,svm,llm,class,asia,,0.0,0.0,0.0,2,,,,,,
section,svm,llm,class,australia,,0.5454545454545454,0.3870967741935484,0.4528301886792453,31,,,,,,
section,svm,llm,class,business,,0.0,0.0,0.0,8,,,,,,
section,svm,llm,class,business-food,,0.0,0.0,0.0,0,,,,,,
section,svm,llm,class,business-money,,0.0,0.0,0.0,1,,,,,,
section,svm,llm,class,cars,,0.0,0.0,0.0,0,,,,,,
section,svm,llm,class,celebrities,,0.0,0.0,0.0,0,,,,,,
section,svm,llm,class,china,,0.0,0.0,0.0,1,,,,,,
section,svm,llm,class,economy,,0.0,0.0,0.0,1,,,,,,
section,svm,llm,class,energy,,0.0,0.0,0.0,0,,,,,,
section,svm,llm,class,entertainment,,0.0,0.0,0.0,11,,,,,,
section,svm,llm,class,europe,,0.8181818181818182,0.05660377358490566,0.10588235294117647,159,,,,,,
section,svm,llm,class,football,,0.6511627906976745,0.2413793103448276,0.3522012578616352,116,,,,,,
section,svm,llm,class,golf,,0.0,0.0,0.0,26,,,,,,
