dataset,label_definition,class,article_count,mean_neighbor_agreement,median_neighbor_agreement,mean_cosine_similarity
full_original,category,business,104,0.5365384615384615,0.6,0.49542248249053955
full_original,category,entertainment,58,0.3689655172413793,0.30000000000000004,0.40583646297454834
full_original,category,health,52,0.24615384615384614,0.2,0.46783649921417236
full_original,category,news,1611,0.914090626939789,1.0,0.5945743322372437
full_original,category,politics,75,0.7573333333333333,1.0,0.5682676434516907
full_original,category,sport,2176,0.9719669117647058,1.0,0.6423681378364563
full_original,section,africa,49,0.6122448979591837,0.6,0.5581146478652954
full_original,section,americas,3,0.06666666666666667,0.0,0.455272912979126
full_original,section,asia,9,0.0,0.0,0.4822534918785095
full_original,section,australia,114,0.7824561403508773,0.9,0.6054502725601196
full_original,section,business,23,0.16521739130434787,0.2,0.49175816774368286
full_original,section,business-food,1,0.0,0.0,0.3663521707057953
full_original,section,business-money,2,0.0,0.0,0.4151710867881775
full_original,section,cars,1,0.0,0.0,0.40374574065208435
full_original,section,celebrities,1,0.0,0.0,0.5610123872756958
full_original,section,china,5,0.2,0.2,0.6515380144119263
full_original,section,economy,8,0.17500000000000002,0.2,0.5447198152542114
full_original,section,energy,3,0.0,0.0,0.4521382749080658
full_original,section,entertainment,56,0.3821428571428571,0.4,0.4046439230442047
full_original,section,europe,800,0.797,1.0,0.6039377450942993
full_original,section,football,618,0.8970873786407768,1.0,0.6548783779144287
full_original,section,golf,173,0.9075144508670521,1.0,0.6172808408737183
full_original,section,health,52,0.24615384615384614,0.2,0.46783649921417236
full_original,section,homes,6,0.5000000000000001,0.5,0.5971001982688904
full_original,section,india,1,0.0,0.0,0.501430869102478
full_original,section,intl_world,1,0.0,0.0,0.5396977663040161
full_original,section,investing,9,0.35555555555555557,0.4,0.52958744764328
full_original,section,living,7,0.0,0.0,0.36292698979377747
full_original,section,media,2,0.0,0.0,0.5010092258453369
full_original,section,middleeast,5,0.04,0.0,0.5110063552856445
full_original,section,motorsport,100,0.8320000000000001,1.0,0.6579865217208862
full_original,section,movies,1,0.0,0.0,0.3174434304237366
full_original,section,opinions,45,0.5466666666666667,0.8,0.602744996547699
full_original,section,perspectives,25,0.38400000000000006,0.4,0.5044625997543335
full_original,section,politics,75,0.7573333333333333,1.0,0.5682676434516907
full_original,section,sport,1088,0.8681985294117647,1.0,0.6241603493690491
full_original,section,success,9,0.15555555555555556,0.2,0.37240833044052124
full_original,section,tech,15,0.12000000000000002,0.0,0.5056490302085876
full_original,section,tennis,197,0.8588832487309644,1.0,0.7177847623825073
full_original,section,uk,376,0.722872340425532,0.8,0.6350955367088318
full_original,section,us,134,0.4552238805970149,0.4,0.5012139678001404
full_original,section,weather,18,0.6444444444444445,0.8,0.5155537724494934
full_original,section,world,44,0.13636363636363635,0.0,0.4744914174079895
