label_or_average,precision,recall,f1-score,support
africa,0.4444444444444444,0.4444444444444444,0.4444444444444444,9.0
americas,0.0,0.0,0.0,0.0
asia,0.0,0.0,0.0,2.0
australia,0.7058823529411765,0.7741935483870968,0.7384615384615385,31.0
business,0.2413793103448276,0.875,0.3783783783783784,8.0
business-food,0.0,0.0,0.0,0.0
business-money,0.0,0.0,0.0,1.0
celebrities,0.0,0.0,0.0,0.0
china,0.25,1.0,0.4,1.0
economy,0.0,0.0,0.0,1.0
energy,0.0,0.0,0.0,0.0
entertainment,0.0,0.0,0.0,11.0
europe,0.9,0.33962264150943394,0.4931506849315068,159.0
football,0.5576923076923077,0.75,0.6397058823529411,116.0
golf,0.8928571428571429,0.9615384615384616,0.9259259259259259,26.0
health,0.0196078431372549,0.1,0.03278688524590164,10.0
homes,0.0,0.0,0.0,0.0
india,0.0,0.0,0.0,0.0
intl_world,0.0,0.0,0.0,1.0
investing,0.0,0.0,0.0,1.0
living,0.0,0.0,0.0,1.0
media,0.0,0.0,0.0,1.0
middleeast,0.0,0.0,0.0,0.0
motorsport,0.9565217391304348,0.9166666666666666,0.9361702127659575,24.0
movies,0.043478260869565216,1.0,0.08333333333333333,1.0
opinions,0.5,0.5384615384615384,0.5185185185185185,13.0
perspectives,0.0,0.0,0.0,5.0
politics,0.15942028985507245,0.7333333333333333,0.2619047619047619,15.0
sport,0.9482758620689655,0.2320675105485232,0.3728813559322034,237.0
success,0.0,0.0,0.0,3.0
tech,0.0,0.0,0.0,1.0
tennis,0.896551724137931,0.7878787878787878,0.8387096774193549,33.0
uk,0.75,0.527027027027027,0.6190476190476191,74.0
us,0.07142857142857142,0.13636363636363635,0.09375,22.0
weather,0.0,0.0,0.0,1.0
world,0.0,0.0,0.0,8.0
accuracy,0.4497549019607843,0.4497549019607843,0.4497549019607843,0.4497549019607843
macro avg,0.23159832913632483,0.28101659989330413,0.21603247829617736,816.0
weighted avg,0.7384269342990836,0.4497549019607843,0.4956877132748061,816.0
