label_or_average,precision,recall,f1-score,support
africa,0.0,0.0,0.0,9.0
americas,0.0,0.0,0.0,0.0
asia,0.0,0.0,0.0,2.0
australia,0.7142857142857143,0.3225806451612903,0.4444444444444444,31.0
business,0.2692307692307692,0.875,0.4117647058823529,8.0
business-food,0.0,0.0,0.0,0.0
business-money,0.0,0.0,0.0,1.0
celebrities,0.0,0.0,0.0,0.0
china,0.0,0.0,0.0,1.0
economy,0.0,0.0,0.0,1.0
energy,0.0,0.0,0.0,0.0
entertainment,0.0,0.0,0.0,11.0
europe,0.8888888888888888,0.3018867924528302,0.4507042253521127,159.0
football,0.396,0.853448275862069,0.5409836065573771,116.0
golf,0.8571428571428571,0.46153846153846156,0.6,26.0
health,0.04938271604938271,0.4,0.08791208791208792,10.0
homes,0.0,0.0,0.0,0.0
india,0.0,0.0,0.0,0.0
intl_world,0.0,0.0,0.0,1.0
investing,0.0,0.0,0.0,1.0
living,0.0,0.0,0.0,1.0
media,0.0,0.0,0.0,1.0
middleeast,0.0,0.0,0.0,0.0
motorsport,1.0,0.08333333333333333,0.15384615384615385,24.0
movies,0.0625,1.0,0.11764705882352941,1.0
opinions,0.0,0.0,0.0,13.0
perspectives,0.0,0.0,0.0,5.0
politics,0.0859375,0.7333333333333333,0.15384615384615385,15.0
sport,0.68,0.14345991561181434,0.23693379790940766,237.0
success,0.0,0.0,0.0,3.0
tech,0.0,0.0,0.0,1.0
tennis,0.75,0.09090909090909091,0.16216216216216217,33.0
uk,0.7368421052631579,0.3783783783783784,0.5,74.0
us,0.14285714285714285,0.36363636363636365,0.20512820512820512,22.0
weather,0.0,0.0,0.0,1.0
world,0.0,0.0,0.0,8.0
accuracy,0.3272058823529412,0.3272058823529412,0.3272058823529412,0.3272058823529412
macro avg,0.18425188038105314,0.1668751275060268,0.11292701671844409,816.0
weighted avg,0.6167601881232545,0.3272058823529412,0.3395860484352011,816.0
