label_or_average,precision,recall,f1-score,support
africa,0.0,0.0,0.0,9.0
americas,0.0,0.0,0.0,0.0
asia,0.0,0.0,0.0,2.0
australia,1.0,0.16129032258064516,0.2777777777777778,31.0
business,0.0,0.0,0.0,8.0
business-food,0.0,0.0,0.0,0.0
business-money,0.0,0.0,0.0,1.0
celebrities,0.0,0.0,0.0,0.0
china,0.0,0.0,0.0,1.0
economy,0.0,0.0,0.0,1.0
energy,0.0,0.0,0.0,0.0
entertainment,0.0,0.0,0.0,11.0
europe,0.95,0.11949685534591195,0.2122905027932961,159.0
football,0.23421588594704684,0.9913793103448276,0.37891268533772654,116.0
golf,1.0,0.11538461538461539,0.20689655172413793,26.0
health,0.02127659574468085,0.1,0.03508771929824561,10.0
homes,0.0,0.0,0.0,0.0
india,0.0,0.0,0.0,0.0
intl_world,0.0,0.0,0.0,1.0
investing,0.0,0.0,0.0,1.0
living,0.0,0.0,0.0,1.0
media,0.0,0.0,0.0,1.0
middleeast,0.0,0.0,0.0,0.0
motorsport,0.0,0.0,0.0,24.0
movies,0.0,0.0,0.0,1.0
opinions,0.0,0.0,0.0,13.0
perspectives,0.0,0.0,0.0,5.0
politics,0.0673076923076923,0.9333333333333333,0.12556053811659193,15.0
sport,0.4,0.016877637130801686,0.032388663967611336,237.0
success,0.0,0.0,0.0,3.0
tech,0.0,0.0,0.0,1.0
tennis,0.0,0.0,0.0,33.0
uk,0.6428571428571429,0.12162162162162163,0.20454545454545456,74.0
us,0.0,0.0,0.0,22.0
weather,0.0,0.0,0.0,1.0
world,0.0,0.0,0.0,8.0
accuracy,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334
macro avg,0.1198793699126823,0.07109399154838213,0.040929441487801164,816.0
weighted avg,0.4642314371119463,0.20833333333333334,0.14307015338317144,816.0
