label_or_average,precision,recall,f1-score,support
africa,0.5,0.3333333333333333,0.4,9.0
americas,0.0,0.0,0.0,0.0
asia,0.0,0.0,0.0,2.0
australia,0.6086956521739131,0.45161290322580644,0.5185185185185185,31.0
business,0.1935483870967742,0.75,0.3076923076923077,8.0
business-food,0.0,0.0,0.0,0.0
business-money,0.0,0.0,0.0,1.0
celebrities,0.0,0.0,0.0,0.0
china,0.3333333333333333,1.0,0.5,1.0
economy,0.0,0.0,0.0,1.0
energy,0.0,0.0,0.0,0.0
entertainment,0.0,0.0,0.0,11.0
europe,0.875,0.3081761006289308,0.4558139534883721,159.0
football,0.47058823529411764,0.8275862068965517,0.6,116.0
golf,0.9523809523809523,0.7692307692307693,0.851063829787234,26.0
health,0.07352941176470588,0.5,0.1282051282051282,10.0
homes,0.0,0.0,0.0,0.0
india,0.0,0.0,0.0,0.0
intl_world,0.0,0.0,0.0,1.0
investing,0.0,0.0,0.0,1.0
living,0.0,0.0,0.0,1.0
media,0.0,0.0,0.0,1.0
middleeast,0.0,0.0,0.0,0.0
motorsport,0.625,0.20833333333333334,0.3125,24.0
movies,0.045454545454545456,1.0,0.08695652173913043,1.0
opinions,0.3333333333333333,0.07692307692307693,0.125,13.0
perspectives,0.0,0.0,0.0,5.0
politics,0.1262135922330097,0.8666666666666667,0.22033898305084745,15.0
sport,0.7924528301886793,0.17721518987341772,0.2896551724137931,237.0
success,0.0,0.0,0.0,3.0
tech,0.0,0.0,0.0,1.0
tennis,0.8181818181818182,0.5454545454545454,0.6545454545454545,33.0
uk,0.7272727272727273,0.43243243243243246,0.5423728813559322,74.0
us,0.1,0.13636363636363635,0.11538461538461539,22.0
weather,0.0,0.0,0.0,1.0
world,0.0,0.0,0.0,8.0
accuracy,0.3786764705882353,0.3786764705882353,0.3786764705882353,0.3786764705882353
macro avg,0.2104162449641086,0.2328702276211806,0.16966798239392594,816.0
weighted avg,0.657552958524939,0.3786764705882353,0.4087734238788657,816.0
