label_or_average,precision,recall,f1-score,support
africa,0.0,0.0,0.0,9.0
americas,0.0,0.0,0.0,0.0
asia,0.0,0.0,0.0,2.0
australia,0.75,0.3870967741935484,0.5106382978723404,31.0
business,0.2222222222222222,0.5,0.3076923076923077,8.0
business-food,0.0,0.0,0.0,0.0
business-money,0.0,0.0,0.0,1.0
celebrities,0.0,0.0,0.0,0.0
china,0.0,0.0,0.0,1.0
economy,0.0,0.0,0.0,1.0
energy,0.0,0.0,0.0,0.0
entertainment,0.0,0.0,0.0,11.0
europe,0.86,0.27044025157232704,0.41148325358851673,159.0
football,0.3550488599348534,0.9396551724137931,0.5153664302600472,116.0
golf,1.0,0.46153846153846156,0.631578947368421,26.0
health,0.06578947368421052,0.5,0.11627906976744186,10.0
homes,0.0,0.0,0.0,0.0
india,0.0,0.0,0.0,0.0
intl_world,0.0,0.0,0.0,1.0
investing,0.0,0.0,0.0,1.0
living,0.0,0.0,0.0,1.0
media,0.0,0.0,0.0,1.0
middleeast,0.0,0.0,0.0,0.0
motorsport,0.0,0.0,0.0,24.0
movies,0.0,0.0,0.0,1.0
opinions,0.0,0.0,0.0,13.0
perspectives,0.0,0.0,0.0,5.0
politics,0.0958904109589041,0.9333333333333333,0.17391304347826086,15.0
sport,0.6041666666666666,0.12236286919831224,0.20350877192982456,237.0
success,0.0,0.0,0.0,3.0
tech,0.0,0.0,0.0,1.0
tennis,0.6666666666666666,0.12121212121212122,0.20512820512820512,33.0
uk,0.7857142857142857,0.2972972972972973,0.43137254901960786,74.0
us,0.2,0.3181818181818182,0.24561403508771928,22.0
weather,0.0,0.0,0.0,1.0
world,0.0,0.0,0.0,8.0
accuracy,0.31985294117647056,0.31985294117647056,0.31985294117647056,0.31985294117647056
macro avg,0.15570829405132802,0.13475328052613922,0.10423819197757478,816.0
weighted avg,0.5622304578116465,0.31985294117647056,0.31374766547025484,816.0
