label_or_average,precision,recall,f1-score,support
africa,0.5,0.8888888888888888,0.64,9.0
americas,0.0,0.0,0.0,0.0
asia,0.0,0.0,0.0,2.0
australia,0.7948717948717948,1.0,0.8857142857142857,31.0
business,0.5,0.375,0.42857142857142855,8.0
business-food,0.0,0.0,0.0,0.0
business-money,0.0,0.0,0.0,1.0
cars,0.0,0.0,0.0,0.0
celebrities,0.0,0.0,0.0,0.0
china,1.0,1.0,1.0,1.0
economy,0.0,0.0,0.0,1.0
energy,0.0,0.0,0.0,0.0
entertainment,0.5294117647058824,0.8181818181818182,0.6428571428571429,11.0
europe,0.9384615384615385,0.7672955974842768,0.8442906574394463,159.0
football,0.8907563025210085,0.9137931034482759,0.902127659574468,116.0
golf,0.9285714285714286,1.0,0.9629629629629629,26.0
health,0.35714285714285715,0.5,0.4166666666666667,10.0
homes,0.0,0.0,0.0,0.0
india,0.0,0.0,0.0,0.0
intl_world,0.0,0.0,0.0,1.0
investing,0.0,0.0,0.0,1.0
living,0.0,0.0,0.0,1.0
media,0.0,0.0,0.0,1.0
middleeast,0.0,0.0,0.0,0.0
motorsport,0.7741935483870968,1.0,0.8727272727272727,24.0
movies,0.0,0.0,0.0,1.0
opinions,0.47058823529411764,0.6153846153846154,0.5333333333333333,13.0
perspectives,0.4,0.8,0.5333333333333333,5.0
politics,0.8,0.8,0.8,15.0
sport,0.96875,0.7848101265822784,0.8671328671328671,237.0
success,0.0,0.0,0.0,3.0
tech,0.125,1.0,0.2222222222222222,1.0
tennis,0.8421052631578947,0.9696969696969697,0.9014084507042254,33.0
uk,0.7816091954022989,0.918918918918919,0.84472049689441,74.0
us,0.5217391304347826,0.5454545454545454,0.5333333333333333,22.0
weather,1.0,1.0,1.0,1.0
world,0.25,0.375,0.3,8.0
accuracy,0.8112745098039216,0.8112745098039216,0.8112745098039216,0.8112745098039216
macro avg,0.361437866458127,0.43438985362271865,0.38192978685047024,816.0
weighted avg,0.8440512422898988,0.8112745098039216,0.8192122118373556,816.0
