label_or_average,precision,recall,f1-score,support
africa,0.7142857142857143,0.5555555555555556,0.625,9.0
americas,0.0,0.0,0.0,0.0
asia,0.0,0.0,0.0,2.0
australia,0.8928571428571429,0.8064516129032258,0.847457627118644,31.0
business,0.0,0.0,0.0,8.0
business-food,0.0,0.0,0.0,0.0
business-money,0.0,0.0,0.0,1.0
cars,0.0,0.0,0.0,0.0
celebrities,0.0,0.0,0.0,0.0
china,0.0,0.0,0.0,1.0
economy,0.0,0.0,0.0,1.0
energy,0.0,0.0,0.0,0.0
entertainment,0.6,0.8181818181818182,0.6923076923076923,11.0
europe,0.8353658536585366,0.8616352201257862,0.848297213622291,159.0
football,0.9159663865546218,0.9396551724137931,0.9276595744680851,116.0
golf,0.9615384615384616,0.9615384615384616,0.9615384615384616,26.0
health,0.6666666666666666,0.4,0.5,10.0
homes,0.0,0.0,0.0,0.0
india,0.0,0.0,0.0,0.0
intl_world,0.0,0.0,0.0,1.0
investing,0.0,0.0,0.0,1.0
living,0.0,0.0,0.0,1.0
media,0.0,0.0,0.0,1.0
middleeast,0.0,0.0,0.0,0.0
motorsport,0.9090909090909091,0.8333333333333334,0.8695652173913043,24.0
movies,0.0,0.0,0.0,1.0
opinions,0.6153846153846154,0.6153846153846154,0.6153846153846154,13.0
perspectives,0.42857142857142855,0.6,0.5,5.0
politics,0.8571428571428571,0.8,0.8275862068965517,15.0
sport,0.9094827586206896,0.890295358649789,0.8997867803837953,237.0
success,0.0,0.0,0.0,3.0
tech,0.0,0.0,0.0,1.0
tennis,0.8529411764705882,0.8787878787878788,0.8656716417910447,33.0
uk,0.7951807228915663,0.8918918918918919,0.8407643312101911,74.0
us,0.5714285714285714,0.7272727272727273,0.64,22.0
weather,1.0,1.0,1.0,1.0
world,0.21428571428571427,0.375,0.2727272727272727,8.0
accuracy,0.8370098039215687,0.8370098039215687,0.8370098039215687,0.8370098039215687
macro avg,0.34432943187697523,0.35013469313618584,0.3441553144551338,816.0
weighted avg,0.8260916952332816,0.8370098039215687,0.8297520916698291,816.0
