label_or_average,precision,recall,f1-score,support
africa,0.0,0.0,0.0,9.0
americas,0.0,0.0,0.0,0.0
asia,0.0,0.0,0.0,2.0
australia,0.9230769230769231,0.3870967741935484,0.5454545454545454,31.0
business,0.0,0.0,0.0,8.0
business-food,0.0,0.0,0.0,0.0
business-money,0.0,0.0,0.0,1.0
cars,0.0,0.0,0.0,0.0
celebrities,0.0,0.0,0.0,0.0
china,0.0,0.0,0.0,1.0
economy,0.0,0.0,0.0,1.0
energy,0.0,0.0,0.0,0.0
entertainment,0.0,0.0,0.0,11.0
europe,0.5748031496062992,0.9182389937106918,0.7070217917675545,159.0
football,0.9528301886792453,0.8706896551724138,0.9099099099099099,116.0
golf,0.9444444444444444,0.6538461538461539,0.7727272727272727,26.0
health,0.0,0.0,0.0,10.0
homes,0.0,0.0,0.0,0.0
india,0.0,0.0,0.0,0.0
intl_world,0.0,0.0,0.0,1.0
investing,0.0,0.0,0.0,1.0
living,0.0,0.0,0.0,1.0
media,0.0,0.0,0.0,1.0
middleeast,0.0,0.0,0.0,0.0
motorsport,1.0,0.5833333333333334,0.7368421052631579,24.0
movies,0.0,0.0,0.0,1.0
opinions,1.0,0.3076923076923077,0.47058823529411764,13.0
perspectives,0.0,0.0,0.0,5.0
politics,1.0,0.4666666666666667,0.6363636363636364,15.0
sport,0.715625,0.9662447257383966,0.822262118491921,237.0
success,0.0,0.0,0.0,3.0
tech,0.0,0.0,0.0,1.0
tennis,0.8620689655172413,0.7575757575757576,0.8064516129032258,33.0
uk,0.92,0.6216216216216216,0.7419354838709677,74.0
us,0.0,0.0,0.0,22.0
weather,0.0,0.0,0.0,1.0
world,0.0,0.0,0.0,8.0
accuracy,0.7365196078431373,0.7365196078431373,0.7365196078431373,0.7365196078431373
macro avg,0.2403472613871393,0.1765677294473214,0.1932312624877381,816.0
weighted avg,0.7024808133666706,0.7365196078431373,0.6920411491250342,816.0
