label_or_average,precision,recall,f1-score,support
africa,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
americas,0.0,0.0,0.0,0.0
asia,0.0,0.0,0.0,2.0
australia,0.8787878787878788,0.9354838709677419,0.90625,31.0
business,1.0,0.25,0.4,8.0
business-food,0.0,0.0,0.0,0.0
business-money,0.0,0.0,0.0,1.0
cars,0.0,0.0,0.0,0.0
celebrities,0.0,0.0,0.0,0.0
china,0.0,0.0,0.0,1.0
economy,0.0,0.0,0.0,1.0
energy,0.0,0.0,0.0,0.0
entertainment,0.5294117647058824,0.8181818181818182,0.6428571428571429,11.0
europe,0.9241379310344827,0.8427672955974843,0.881578947368421,159.0
football,0.9166666666666666,0.9482758620689655,0.9322033898305084,116.0
golf,0.896551724137931,1.0,0.9454545454545454,26.0
health,0.4,0.6,0.48,10.0
homes,0.0,0.0,0.0,0.0
india,0.0,0.0,0.0,0.0
intl_world,0.0,0.0,0.0,1.0
investing,0.0,0.0,0.0,1.0
living,0.0,0.0,0.0,1.0
media,0.0,0.0,0.0,1.0
middleeast,0.0,0.0,0.0,0.0
motorsport,0.84,0.875,0.8571428571428571,24.0
movies,0.0,0.0,0.0,1.0
opinions,0.5333333333333333,0.6153846153846154,0.5714285714285714,13.0
perspectives,0.4444444444444444,0.8,0.5714285714285714,5.0
politics,0.8,0.8,0.8,15.0
sport,0.9476190476190476,0.8396624472573839,0.8903803131991052,237.0
success,0.0,0.0,0.0,3.0
tech,0.16666666666666666,1.0,0.2857142857142857,1.0
tennis,0.8648648648648649,0.9696969696969697,0.9142857142857143,33.0
uk,0.7926829268292683,0.8783783783783784,0.8333333333333334,74.0
us,0.5416666666666666,0.5909090909090909,0.5652173913043478,22.0
weather,1.0,1.0,1.0,1.0
world,0.08333333333333333,0.125,0.1,8.0
accuracy,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
macro avg,0.36048500072616874,0.39639238178973585,0.36094737408446437,816.0
weighted avg,0.8523258698734894,0.8333333333333334,0.8373645978223047,816.0
