label_or_average,precision,recall,f1-score,support
africa,0.6666666666666666,0.4444444444444444,0.5333333333333333,9.0
americas,0.0,0.0,0.0,0.0
asia,0.0,0.0,0.0,2.0
australia,0.8846153846153846,0.7419354838709677,0.8070175438596491,31.0
business,0.0,0.0,0.0,8.0
business-food,0.0,0.0,0.0,0.0
business-money,0.0,0.0,0.0,1.0
cars,0.0,0.0,0.0,0.0
celebrities,0.0,0.0,0.0,0.0
china,0.0,0.0,0.0,1.0
economy,0.0,0.0,0.0,1.0
energy,0.0,0.0,0.0,0.0
entertainment,0.7272727272727273,0.7272727272727273,0.7272727272727273,11.0
europe,0.7795698924731183,0.9119496855345912,0.8405797101449275,159.0
football,0.9137931034482759,0.9137931034482759,0.9137931034482759,116.0
golf,0.9565217391304348,0.8461538461538461,0.8979591836734694,26.0
health,0.25,0.1,0.14285714285714285,10.0
homes,0.0,0.0,0.0,0.0
india,0.0,0.0,0.0,0.0
intl_world,0.0,0.0,0.0,1.0
investing,0.0,0.0,0.0,1.0
living,0.0,0.0,0.0,1.0
media,0.0,0.0,0.0,1.0
middleeast,0.0,0.0,0.0,0.0
motorsport,0.9523809523809523,0.8333333333333334,0.8888888888888888,24.0
movies,0.0,0.0,0.0,1.0
opinions,0.6363636363636364,0.5384615384615384,0.5833333333333334,13.0
perspectives,0.5,0.6,0.5454545454545454,5.0
politics,0.7333333333333333,0.7333333333333333,0.7333333333333333,15.0
sport,0.8443579766536965,0.9156118143459916,0.8785425101214575,237.0
success,0.0,0.0,0.0,3.0
tech,0.0,0.0,0.0,1.0
tennis,0.84375,0.8181818181818182,0.8307692307692308,33.0
uk,0.8142857142857143,0.7702702702702703,0.7916666666666666,74.0
us,0.5714285714285714,0.5454545454545454,0.5581395348837209,22.0
weather,1.0,1.0,1.0,1.0
world,0.2,0.125,0.15384615384615385,8.0
accuracy,0.8149509803921569,0.8149509803921569,0.8149509803921569,0.8149509803921569
macro avg,0.33173891075817596,0.31257286335420764,0.31964289032126636,816.0
weighted avg,0.7925971655258108,0.8149509803921569,0.800995464726015,816.0
